id,x,y,w,h,cx,cy,angle_deg,radius,char,name,cp_hex,cp_bin,utf8_hex,utf8_bin
143,440,1646,63,64,471.5,1678,220.19,856.14,🫪,CUSTOM INPUT,1FAEA,11111101011101010,F09FABAA,11110000100111111010101110101010
144,537,1636,53,64,563.5,1668,215.57,791.70,🧑🏻‍🦼‍➡️,CUSTOM INPUT,1F9D1-1F3FB-200D-1F9BC-200D-27A1-FE0F,11111100111010001 11111001111111011 10000000001101 11111100110111100 10000000001101 10011110100001 1111111000001111,F09FA791F09F8FBBE2808DF09FA6BCE2808DE29EA1EFB88F,111100001001111110100111100100011111000010011111100011111011101111100010100000001000110111110000100111111010011010111100111000101000000010001101111000101001111010100001111011111011100010001111
145,503,1755,71,48,538.5,1779,212.74,897.63,🤛,LEFT-FACING FIST,1F91B,11111100100011011,F09FA49B,11110000100111111010010010011011
146,598,1724,63,63,629.5,1755.5,208.34,831.10,😠,ANGRY FACE,1F620,11111011000100000,F09F98A0,11110000100111111001100010100000
147,681,1802,62,69,712,1836.5,201.01,870.34,👨‍🍳,MAN COOK,1F468-200D-1F373,11111010001101000 10000000001101 11111001101110011,F09F91A8E2808DF09F8DB3,1111000010011111100100011010100011100010100000001000110111110000100111111000110110110011
148,692,1688,54,69,719,1722.5,203.59,762.19,🧞‍♂️,MAN GENIE,1F9DE-200D-2642-FE0F,11111100111011110 10000000001101 10011001000010 1111111000001111,F09FA79EE2808DE29982EFB88F,11110000100111111010011110011110111000101000000010001101111000101001100110000010111011111011100010001111
149,771,1639,65,70,803.5,1674,198.74,686.38,💪,FLEXED BICEPS,1F4AA,11111010010101010,F09F92AA,11110000100111111001001010101010
150,637,1608,43,63,658.5,1639.5,210.70,715.84,👂🏿,CUSTOM INPUT,1F442-1F3FF,11111010001000010 11111001111111111,F09F9182F09F8FBF,1111000010011111100100011000001011110000100111111000111110111111
151,594,1534,34,48,611,1558,217.72,675.07,🧎‍♀️,WOMAN KNEELING,1F9CE-200D-2640-FE0F,11111100111001110 10000000001101 10011001000000 1111111000001111,F09FA78EE2808DE29980EFB88F,11110000100111111010011110001110111000101000000010001101111000101001100110000000111011111011100010001111
152,562,1423,44,70,584,1458,225.39,618.03,🤞🏿,CUSTOM INPUT,1F91E-1F3FF,11111100100011110 11111001111111111,F09FA49EF09F8FBF,1111000010011111101001001001111011110000100111111000111110111111
153,558,1337,40,60,578,1367,232.44,562.64,👩🏻‍🦽‍➡️,CUSTOM INPUT,1F469-1F3FB-200D-1F9BD-200D-27A1-FE0F,11111010001101001 11111001111111011 10000000001101 11111100110111101 10000000001101 10011110100001 1111111000001111,F09F91A9F09F8FBBE2808DF09FA6BDE2808DE29EA1EFB88F,111100001001111110010001101010011111000010011111100011111011101111100010100000001000110111110000100111111010011010111101111000101000000010001101111000101001111010100001111011111011100010001111
154,561,1241,67,67,594.5,1274.5,239.75,497.21,👨🏻‍🎨,CUSTOM INPUT,1F468-1F3FB-200D-1F3A8,11111010001101000 11111001111111011 10000000001101 11111001110101000,F09F91A8F09F8FBBE2808DF09F8EA8,111100001001111110010001101010001111000010011111100011111011101111100010100000001000110111110000100111111000111010101000
155,603,1159,67,61,636.5,1189.5,246.87,421.36,🤷🏻,CUSTOM INPUT,1F937-1F3FB,11111100100110111 11111001111111011,F09FA4B7F09F8FBB,1111000010011111101001001011011111110000100111111000111110111011
156,677,1075,69,70,711.5,1110,254.61,324.12,💤,SLEEPING SYMBOL,1F4A4,11111010010100100,F09F92A4,11110000100111111001001010100100
157,708,971,69,69,742.5,1005.5,273.76,282.11,👋,WAVING HAND SIGN,1F44B,11111010001001011,F09F918B,11110000100111111001000110001011
158,654,899,52,64,680,931,285.13,356.35,🙍‍♂️,MAN FROWNING,1F64D-200D-2642-FE0F,11111011001001101 10000000001101 10011001000010 1111111000001111,F09F998DE2808DE29982EFB88F,11110000100111111001100110001101111000101000000010001101111000101001100110000010111011111011100010001111
159,779,900,68,69,813,934.5,292.99,229.20,🚵,MOUNTAIN BICYCLIST,1F6B5,11111011010110101,F09F9AB5,11110000100111111001101010110101
160,882,890,66,69,915,924.5,312.39,147.58,🙅‍♀️,WOMAN GESTURING NO,1F645-200D-2640-FE0F,11111011001000101 10000000001101 10011001000000 1111111000001111,F09F9985E2808DE29980EFB88F,11110000100111111001100110000101111000101000000010001101111000101001100110000000111011111011100010001111
161,822,1010,71,71,857.5,1045.5,262.64,167.88,🙆🏻‍♂️,CUSTOM INPUT,1F646-1F3FB-200D-2642-FE0F,11111011001000110 11111001111111011 10000000001101 10011001000010 1111111000001111,F09F9986F09F8FBBE2808DE29982EFB88F,1111000010011111100110011000011011110000100111111000111110111011111000101000000010001101111000101001100110000010111011111011100010001111
162,794,1102,34,63,811,1133.5,242.79,239.50,🚶🏾‍♀️,CUSTOM INPUT,1F6B6-1F3FE-200D-2640-FE0F,11111011010110110 11111001111111110 10000000001101 10011001000000 1111111000001111,F09F9AB6F09F8FBEE2808DE29980EFB88F,1111000010011111100110101011011011110000100111111000111110111110111000101000000010001101111000101001100110000000111011111011100010001111
163,698,1197,62,68,729,1231,234.94,360.38,🧏🏾‍♂️,CUSTOM INPUT,1F9CF-1F3FE-200D-2642-FE0F,11111100111001111 11111001111111110 10000000001101 10011001000010 1111111000001111,F09FA78FF09F8FBEE2808DE29982EFB88F,1111000010011111101001111000111111110000100111111000111110111110111000101000000010001101111000101001100110000010111011111011100010001111
164,805,1201,37,66,823.5,1234,223.67,290.35,🦶🏾,CUSTOM INPUT,1F9B6-1F3FE,11111100110110110 11111001111111110,F09FA6B6F09F8FBE,1111000010011111101001101011011011110000100111111000111110111110
165,891,1149,68,68,925,1183,211.91,187.30,🙆🏾‍♀️,CUSTOM INPUT,1F646-1F3FE-200D-2640-FE0F,11111011001000110 11111001111111110 10000000001101 10011001000000 1111111000001111,F09F9986F09F8FBEE2808DE29980EFB88F,1111000010011111100110011000011011110000100111111000111110111110111000101000000010001101111000101001100110000000111011111011100010001111
166,999,1089,59,67,1028.5,1122.5,177.38,98.60,👨‍⚖️,MAN JUDGE,1F468-200D-2696-FE0F,11111010001101000 10000000001101 10011010010110 1111111000001111,F09F91A8E2808DE29A96EFB88F,11110000100111111001000110101000111000101000000010001101111000101001101010010110111011111011100010001111
167,1109,1075,58,69,1138,1109.5,126.87,142.50,🧑‍🚒,FIREFIGHTER,1F9D1-200D-1F692,11111100111010001 10000000001101 11111011010010010,F09FA791E2808DF09F9A92,1111000010011111101001111001000111100010100000001000110111110000100111111001101010010010
168,1058,1181,64,70,1090,1216,161.03,203.03,👯,WOMAN WITH BUNNY EARS,1F46F,11111010001101111,F09F91AF,11110000100111111001000110101111
169,942,1241,57,61,970.5,1271.5,192.20,253.22,👸🏻,CUSTOM INPUT,1F478-1F3FB,11111010001111000 11111001111111011,F09F91B8F09F8FBB,1111000010011111100100011011100011110000100111111000111110111011
170,857,1291,63,68,888.5,1325,204.24,330.09,⛹🏻‍♀️,CUSTOM INPUT,26F9-1F3FB-200D-2640-FE0F,10011011111001 11111001111111011 10000000001101 10011001000000 1111111000001111,E29BB9F09F8FBBE2808DE29980EFB88F,11100010100110111011100111110000100111111000111110111011111000101000000010001101111000101001100110000000111011111011100010001111
171,773,1314,40,60,793,1344,215.82,394.67,🧑🏿‍🦽,CUSTOM INPUT,1F9D1-1F3FF-200D-1F9BD,11111100111010001 11111001111111111 10000000001101 11111100110111101,F09FA791F09F8FBFE2808DF09FA6BD,111100001001111110100111100100011111000010011111100011111011111111100010100000001000110111110000100111111010011010111101
172,674,1293,34,64,691,1325,227.89,448.88,🚶🏿,CUSTOM INPUT,1F6B6-1F3FF,11111011010110110 11111001111111111,F09F9AB6F09F8FBF,1111000010011111100110101011011011110000100111111000111110111111
173,665,1385,41,67,685.5,1418.5,220.63,519.82,🫃🏻,CUSTOM INPUT,1FAC3-1F3FB,11111101011000011 11111001111111011,F09FAB83F09F8FBB,1111000010011111101010111000001111110000100111111000111110111011
174,767,1408,62,67,798,1441.5,208.43,474.74,👨‍🚀,MAN ASTRONAUT,1F468-200D-1F680,11111010001101000 10000000001101 11111011010000000,F09F91A8E2808DF09F9A80,1111000010011111100100011010100011100010100000001000110111110000100111111001101010000000
175,873,1398,64,67,905,1431.5,196.28,424.52,🕵🏿‍♀️,CUSTOM INPUT,1F575-1F3FF-200D-2640-FE0F,11111010101110101 11111001111111111 10000000001101 10011001000000 1111111000001111,F09F95B5F09F8FBFE2808DE29980EFB88F,1111000010011111100101011011010111110000100111111000111110111111111000101000000010001101111000101001100110000000111011111011100010001111
176,801,1493,52,70,827,1528,201.35,541.13,🧞‍♀️,WOMAN GENIE,1F9DE-200D-2640-FE0F,11111100111011110 10000000001101 10011001000000 1111111000001111,F09FA79EE2808DE29980EFB88F,11110000100111111010011110011110111000101000000010001101111000101001100110000000111011111011100010001111
177,674,1475,62,69,705,1509.5,213.31,580.92,🤳,SELFIE,1F933,11111100100110011,F09FA4B3,11110000100111111010010010110011
178,711,1562,67,64,744.5,1594,206.12,634.84,👿,IMP,1F47F,11111010001111111,F09F91BF,11110000100111111001000110111111
179,768,1762,62,69,799,1796.5,196.24,804.60,🖐,HAND WITH FINGERS SPLAYED,1F590,11111010110010000,F09F9690,11110000100111111001011010010000
180,858,1709,45,69,880.5,1743.5,191.28,733.67,🏌🏿‍♀️,CUSTOM INPUT,1F3CC-1F3FF-200D-2640-FE0F,11111001111001100 11111001111111111 10000000001101 10011001000000 1111111000001111,F09F8F8CF09F8FBFE2808DE29980EFB88F,1111000010011111100011111000110011110000100111111000111110111111111000101000000010001101111000101001100110000000111011111011100010001111
181,872,1841,35,48,889.5,1865,189.09,851.69,🧎🏻,CUSTOM INPUT,1F9CE-1F3FB,11111100111001110 11111001111111011,F09FA78EF09F8FBB,1111000010011111101001111000111011110000100111111000111110111011
182,933,1765,63,67,964.5,1798.5,184.39,776.78,🧏🏾‍♂️,CUSTOM INPUT,1F9CF-1F3FE-200D-2642-FE0F,11111100111001111 11111001111111110 10000000001101 10011001000010 1111111000001111,F09FA78FF09F8FBEE2808DE29982EFB88F,1111000010011111101001111000111111110000100111111000111110111110111000101000000010001101111000101001100110000010111011111011100010001111
183,969,1881,50,57,994,1909.5,181.94,886.01,🫅🏿,CUSTOM INPUT,1FAC5-1F3FF,11111101011000101 11111001111111111,F09FAB85F09F8FBF,1111000010011111101010111000010111110000100111111000111110111111
184,1041,1809,47,63,1064.5,1840.5,177.16,817.50,👲🏻,CUSTOM INPUT,1F472-1F3FB,11111010001110010 11111001111111011,F09F91B2F09F8FBB,1111000010011111100100011011001011110000100111111000111110111011
185,918,1638,59,66,947.5,1671,186.74,651.51,🏃,RUNNER,1F3C3,11111001111000011,F09F8F83,11110000100111111000111110000011
186,843,1585,67,40,876.5,1605,194.24,599.43,🚣‍♂️,MAN ROWING BOAT,1F6A3-200D-2642-FE0F,11111011010100011 10000000001101 10011001000010 1111111000001111,F09F9AA3E2808DE29982EFB88F,11110000100111111001101010100011111000101000000010001101111000101001100110000010111011111011100010001111
187,915,1484,52,67,941,1517.5,189.55,500.43,👌🏾,CUSTOM INPUT,1F44C-1F3FE,11111010001001100 11111001111111110,F09F918CF09F8FBE,1111000010011111100100011000110011110000100111111000111110111110
188,968,1554,68,69,1002,1588.5,182.23,564.93,❤️‍🩹,MENDING HEART,2764-FE0F-200D-1FA79,10011101100100 1111111000001111 10000000001101 11111101001111001,E29DA4EFB88FE2808DF09FA9B9,11100010100111011010010011101111101110001000111111100010100000001000110111110000100111111010100110111001
189,1262,1850,57,66,1290.5,1883,162.76,899.39,👨🏾‍🔧,CUSTOM INPUT,1F468-1F3FE-200D-1F527,11111010001101000 11111001111111110 10000000001101 11111010100100111,F09F91A8F09F8FBEE2808DF09F94A7,111100001001111110010001101010001111000010011111100011111011111011100010100000001000110111110000100111111001010010100111
190,1139,1836,65,66,1171.5,1869,170.10,857.78,🤦🏾‍♂️,CUSTOM INPUT,1F926-1F3FE-200D-2642-FE0F,11111100100100110 11111001111111110 10000000001101 10011001000010 1111111000001111,F09FA4A6F09F8FBEE2808DE29982EFB88F,1111000010011111101001001010011011110000100111111000111110111110111000101000000010001101111000101001100110000010111011111011100010001111
191,1090,1733,60,67,1120,1766.5,172.63,748.68,👨‍🦯‍➡️,MAN WITH WHITE CANE FACING RIGHT,1F468-200D-1F9AF-200D-27A1-FE0F,11111010001101000 10000000001101 11111100110101111 10000000001101 10011110100001 1111111000001111,F09F91A8E2808DF09FA6AFE2808DE29EA1EFB88F,1111000010011111100100011010100011100010100000001000110111110000100111111010011010101111111000101000000010001101111000101001111010100001111011111011100010001111
