id,x,y,w,h,cx,cy,angle_deg,radius,char,name,cp_hex,cp_bin,utf8_hex,utf8_bin
228,1750,1423,48,67,1774,1456.5,119.97,865.77,👷🏿,CUSTOM INPUT,1F477-1F3FF,11111010001110111 11111001111111111,F09F91B7F09F8FBF,1111000010011111100100011011011111110000100111111000111110111111
229,1713,1334,69,66,1747.5,1367,115.36,800.69,👩🏼‍🦱,CUSTOM INPUT,1F469-1F3FC-200D-1F9B1,11111010001101001 11111001111111100 10000000001101 11111100110110001,F09F91A9F09F8FBCE2808DF09FA6B1,111100001001111110010001101010011111000010011111100011111011110011100010100000001000110111110000100111111010011010110001
230,1593,1306,69,65,1627.5,1338.5,117.53,680.53,✍️,WRITING HAND,270D-FE0F,10011100001101 1111111000001111,E29C8DEFB88F,111000101001110010001101111011111011100010001111
231,1798,1249,62,73,1829,1285.5,108.00,846.41,🕵🏾‍♂️,CUSTOM INPUT,1F575-1F3FE-200D-2642-FE0F,11111010101110101 11111001111111110 10000000001101 10011001000010 1111111000001111,F09F95B5F09F8FBEE2808DE29982EFB88F,1111000010011111100101011011010111110000100111111000111110111110111000101000000010001101111000101001100110000010111011111011100010001111
232,1682,1249,49,64,1706.5,1281,110.63,729.28,🤵🏾‍♂️,CUSTOM INPUT,1F935-1F3FE-200D-2642-FE0F,11111100100110101 11111001111111110 10000000001101 10011001000010 1111111000001111,F09FA4B5F09F8FBEE2808DE29982EFB88F,1111000010011111101001001011010111110000100111111000111110111110111000101000000010001101111000101001100110000010111011111011100010001111
233,1371,1271,47,66,1394.5,1304,127.08,464.40,🫅🏿,CUSTOM INPUT,1FAC5-1F3FF,11111101011000101 11111001111111111,F09FAB85F09F8FBF,1111000010011111101010111000010111110000100111111000111110111111
234,1465,1257,42,68,1486,1291,120.02,533.60,🤰,PREGNANT WOMAN,1F930,11111100100110000,F09FA4B0,11110000100111111010010010110000
235,1367,1165,65,67,1399.5,1198.5,114.92,414.07,🔑,KEY,1F511,11111010100010001,F09F9491,11110000100111111001010010010001
236,1467,1142,45,67,1489.5,1175.5,108.03,489.53,✌️,VICTORY HAND,270C-FE0F,10011100001100 1111111000001111,E29C8CEFB88F,111000101001110010001100111011111011100010001111
237,1547,1223,51,68,1572.5,1257,113.02,595.94,👩🏻‍⚕️,CUSTOM INPUT,1F469-1F3FB-200D-2695-FE0F,11111010001101001 11111001111111011 10000000001101 10011010010101 1111111000001111,F09F91A9F09F8FBBE2808DE29A95EFB88F,1111000010011111100100011010100111110000100111111000111110111011111000101000000010001101111000101001101010010101111011111011100010001111
238,1620,1166,58,69,1649,1200.5,105.77,649.44,🧔🏾,CUSTOM INPUT,1F9D4-1F3FE,11111100111010100 11111001111111110,F09FA794F09F8FBE,1111000010011111101001111001010011110000100111111000111110111110
239,1768,1172,46,65,1791,1204.5,103.24,787.95,🫸🏻,CUSTOM INPUT,1FAF8-1F3FB,11111101011111000 11111001111111011,F09FABB8F09F8FBB,1111000010011111101010111011100011110000100111111000111110111011
240,1852,1165,73,55,1888.5,1192.5,101.03,880.77,👁️,EYE,1F441-FE0F,11111010001000001 1111111000001111,F09F9181EFB88F,11110000100111111001000110000001111011111011100010001111
241,1540,1097,63,65,1571.5,1129.5,100.91,557.57,😪,SLEEPY FACE,1F62A,11111011000101010,F09F98AA,11110000100111111001100010101010
242,1683,1099,70,64,1718,1131,98.76,702.20,👩🏽‍🦰,CUSTOM INPUT,1F469-1F3FD-200D-1F9B0,11111010001101001 11111001111111101 10000000001101 11111100110110000,F09F91A9F09F8FBDE2808DF09FA6B0,111100001001111110010001101010011111000010011111100011111011110111100010100000001000110111110000100111111010011010110000
243,1803,1091,67,44,1836.5,1113,96.25,817.36,🫶,HEART HANDS,1FAF6,11111101011110110,F09FABB6,11110000100111111010101110110110
244,1338,1071,65,69,1370.5,1105.5,103.24,355.96,👍,THUMBS UP SIGN,1F44D,11111010001001101,F09F918D,11110000100111111001000110001101
245,1212,1063,46,68,1235,1097,109.08,223.27,☝🏿,CUSTOM INPUT,261D-1F3FF,10011000011101 11111001111111111,E2989DF09F8FBF,11100010100110001001110111110000100111111000111110111111
246,1436,1038,61,68,1466.5,1072,96.19,445.10,👰🏻‍♀️,CUSTOM INPUT,1F470-1F3FB-200D-2640-FE0F,11111010001110000 11111001111111011 10000000001101 10011001000000 1111111000001111,F09F91B0F09F8FBBE2808DE29980EFB88F,1111000010011111100100011011000011110000100111111000111110111011111000101000000010001101111000101001100110000000111011111011100010001111
247,1273,992,69,70,1307.5,1027,90.61,283.52,💇‍♀️,WOMAN GETTING HAIRCUT,1F487-200D-2640-FE0F,11111010010000111 10000000001101 10011001000000 1111111000001111,F09F9287E2808DE29980EFB88F,11110000100111111001001010000111111000101000000010001101111000101001100110000000111011111011100010001111
248,1380,950,65,68,1412.5,984,84.12,390.55,🧗🏿‍♀️,CUSTOM INPUT,1F9D7-1F3FF-200D-2640-FE0F,11111100111010111 11111001111111111 10000000001101 10011001000000 1111111000001111,F09FA797F09F8FBFE2808DE29980EFB88F,1111000010011111101001111001011111110000100111111000111110111111111000101000000010001101111000101001100110000000111011111011100010001111
249,1510,981,61,69,1540.5,1015.5,89.06,516.57,⛹🏻‍♂️,CUSTOM INPUT,26F9-1F3FB-200D-2642-FE0F,10011011111001 11111001111111011 10000000001101 10011001000010 1111111000001111,E29BB9F09F8FBBE2808DE29982EFB88F,11100010100110111011100111110000100111111000111110111011111000101000000010001101111000101001100110000010111011111011100010001111
250,1160,956,61,67,1190.5,989.5,78.29,170.04,👨🏻‍🦯,CUSTOM INPUT,1F468-1F3FB-200D-1F9AF,11111010001101000 11111001111111011 10000000001101 11111100110101111,F09F91A8F09F8FBBE2808DF09FA6AF,111100001001111110010001101010001111000010011111100011111011101111100010100000001000110111110000100111111010011010101111
251,1314,893,54,65,1341,925.5,72.74,331.95,👩🏼‍🔧,CUSTOM INPUT,1F469-1F3FC-200D-1F527,11111010001101001 11111001111111100 10000000001101 11111010100100111,F09F91A9F09F8FBCE2808DF09F94A7,111100001001111110010001101010011111000010011111100011111011110011100010100000001000110111110000100111111001010010100111
252,1455,886,64,65,1487,918.5,77.16,474.87,🤌,PINCHED FINGERS,1F90C,11111100100001100,F09FA48C,11110000100111111010010010001100
253,1582,909,44,70,1604,944,82.15,585.49,🏌,PERSON GOLFING,1F3CC,11111001111001100,F09F8F8C,11110000100111111000111110001100
254,1607,1031,63,67,1638.5,1064.5,93.77,615.83,🙇🏾‍♀️,CUSTOM INPUT,1F647-1F3FE-200D-2640-FE0F,11111011001000111 11111001111111110 10000000001101 10011001000000 1111111000001111,F09F9987F09F8FBEE2808DE29980EFB88F,1111000010011111100110011000011111110000100111111000111110111110111000101000000010001101111000101001100110000000111011111011100010001111
255,1669,954,58,67,1698,987.5,86.90,674.99,👩🏻‍🎤,CUSTOM INPUT,1F469-1F3FB-200D-1F3A4,11111010001101001 11111001111111011 10000000001101 11111001110100100,F09F91A9F09F8FBBE2808DF09F8EA4,111100001001111110010001101010011111000010011111100011111011101111100010100000001000110111110000100111111000111010100100
256,1740,1014,63,63,1771.5,1045.5,91.65,747.81,☹️,FROWNING FACE,2639-FE0F,10011000111001 1111111000001111,E298B9EFB88F,111000101001100010111001111011111011100010001111
257,1848,981,69,63,1882.5,1012.5,89.23,858.58,💁🏼,CUSTOM INPUT,1F481-1F3FC,11111010010000001 11111001111111100,F09F9281F09F8FBC,1111000010011111100100101000000111110000100111111000111110111100
258,962,963,123,123,1023.5,1024.5,225.00,0.71,BITCOIN LOGO CENTER,CUSTOM INPUT,0062,1100010,62,01100010
